,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,index
0,364,4294,1270,30513,5102,2772,741,11222,14520,6541,1071,811,9335,3692,2213,2558,2251,1992,1088,5436,8822,5797,3921,920,2690,618,1362,2204,909,5962,1243,28109,6444,406,6749,1575,3335,8100,874,2316,359,3984,17799,1859,626,6837,10365,543,3520,242,2020-05-01
1,438,4170,1241,28991,4482,2737,793,10454,13434,6243,966,817,8544,3426,2130,2493,1960,1942,1127,4955,7988,5481,3200,890,2538,567,1253,2392,897,5668,1068,27082,6285,375,5986,1391,3031,8188,734,2338,390,3713,15778,1741,547,6424,9493,546,3069,198,2020-05-16
2,487,5564,1513,27992,3980,2243,690,8819,13934,5540,1071,830,7451,3154,1720,1984,1682,1840,971,4227,6983,4402,3343,808,2279,526,1058,2192,757,4848,982,25163,6033,370,5567,1648,3486,6561,647,2457,317,3458,17018,1766,571,5400,8675,492,2715,210,2020-05-31
3,494,6906,1607,34611,4409,2673,732,9314,20520,7136,1150,1028,8434,3600,1993,2591,2115,2479,1112,4826,7459,5614,3558,1002,2670,717,1056,3255,831,5425,1160,26428,6751,322,7163,2133,3746,8210,647,3022,326,4418,26704,2128,696,6243,9578,490,3092,269,2020-06-15
4,529,6479,1678,35183,4625,2429,719,8644,21339,8088,1143,1065,8259,3684,1993,2464,2538,2969,1106,4666,6708,5618,3617,1114,2783,701,1097,2978,870,5439,1329,25622,6999,371,7129,2069,4257,7565,673,3141,326,4528,23382,2080,609,6362,9303,603,3209,231,2020-06-30
5,615,5473,1599,32628,4661,2454,776,9409,19090,7380,1174,1013,8871,3929,1930,2706,2632,2503,1043,5185,7187,5736,3789,1036,2972,689,1304,2711,938,5371,1213,25447,7031,468,7575,1926,3903,8267,752,2784,474,4910,21878,1642,571,6923,9530,683,3288,265,2020-07-15
6,567,5104,1738,32060,4611,2405,681,9511,17383,8484,1412,1066,8689,4091,1940,2814,2775,2381,1104,5046,7690,5906,3813,1274,3690,852,1520,2559,840,5660,1146,26237,7175,468,8019,1925,3600,8129,637,2757,428,4809,21099,1774,621,6488,9902,796,3379,299,2020-07-30
7,552,4903,1636,32999,4405,2672,636,10000,15394,8143,1638,1021,8952,3864,2753,2623,2618,1921,1449,4861,7344,5581,3895,1147,3525,874,1438,2578,990,5231,1147,26766,7149,521,7524,1868,3388,7899,590,2665,643,4371,19820,1971,629,6940,10119,663,3064,245,2020-08-14
8,528,4958,1609,31725,4537,2402,760,9225,15301,7030,1400,937,8564,3551,2228,2441,2509,2256,1224,4614,7355,5584,3859,1081,3119,689,1257,2431,983,5208,1198,25520,6298,476,7016,1815,3538,7514,693,2628,559,4337,18427,1523,635,6530,10166,801,3777,241,2020-08-29
9,1098,8838,2648,57413,8290,4742,1186,18882,30163,12902,2458,1968,16473,6811,4086,5106,4110,4051,2411,9446,14257,10512,7851,2184,6430,1768,2392,4345,1740,9978,2220,51034,12020,1178,12939,3664,6663,15351,1391,4826,1182,7641,33451,4359,1264,13472,18714,1806,7351,556,2020-09-13
10,630,6034,1352,33958,5024,2548,723,9687,17518,6912,1290,1015,8874,3769,2075,2748,2355,1895,1243,5018,7376,6005,4061,906,2998,1047,1307,2532,1173,5499,1431,27991,6359,555,7339,1848,4088,7975,767,2583,562,4787,17999,2085,654,6668,10285,759,4260,327,2020-09-28
11,712,5222,1281,31289,5349,2789,658,9565,16023,6488,1397,1229,10133,3951,2178,2660,2630,2199,1464,4914,8061,6492,4114,1125,2838,1149,1441,2877,1094,5499,1348,27184,6819,540,7590,1846,3771,7983,743,3163,938,4501,17926,2129,736,6521,10157,778,4367,315,2020-10-13
12,633,5315,1632,29996,5467,2987,720,8416,14632,6695,1154,1225,9814,4480,3250,3100,2831,2159,1405,5845,7787,6778,5006,984,3652,843,1871,2481,989,5614,1265,27514,6447,633,8316,2275,3847,8854,855,2181,647,4500,18566,2612,722,6087,9684,868,4546,371,2020-10-28
13,703,5569,1528,33139,5554,2743,749,8908,15704,6294,1084,1240,9139,4312,2855,2915,2886,2294,1555,5557,7552,6179,5421,1060,3451,828,1761,2948,1042,5531,1535,29870,6411,632,8685,2554,4246,9160,892,2637,651,4760,18497,2151,782,6279,10437,985,4213,398,2020-11-12
